@relation ephenology_all-5-fold-5-11R.tra_val

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 {A.tomentosum,C.brasiliensis,M.guianensis,M.rubiginosa,P.ramiflora,P.torta}

@data

0.387665,0.377193,0.367647,0.359823,0.372385,0.375546,0.379808,0.381166,0.379391,0.377171,0.378571,0.372832,0.369305,0.381381,0.38587,0.380822,0.376147,0.366391,0.379147,0.367847,0.375,0.366667,0.366477,0.371571,0.374083,0.375342,0.361823,0.366366,0.348993,0.360775,0.367609,0.353247,0.373684,0.352601,0.361746,0.362683,0.363914,5284,C.brasiliensis
0.335632,0.342697,0.334862,0.334091,0.33,0.334165,0.340136,0.344059,0.342857,0.338542,0.332627,0.347107,0.327536,0.331395,0.336134,0.340426,0.342105,0.332468,0.333333,0.331551,0.330303,0.329588,0.334286,0.342767,0.345238,0.327703,0.325088,0.334459,0.309524,0.3391,0.334471,0.336879,0.34593,0.328125,0.337539,0.32872,0.340058,4446,P.torta
0.389105,0.370482,0.378947,0.366667,0.371324,0.37931,0.396624,0.379061,0.376384,0.383065,0.379928,0.371308,0.364549,0.372294,0.379913,0.37561,0.368421,0.366102,0.380734,0.379808,0.383178,0.376884,0.373702,0.380392,0.376471,0.375494,0.385321,0.374046,0.356589,0.38961,0.377593,0.376068,0.372951,0.376426,0.392857,0.387931,0.380328,5014,C.brasiliensis
0.355422,0.355164,0.366412,0.380488,0.380952,0.369403,0.374532,0.366782,0.364198,0.357595,0.357995,0.35989,0.355204,0.364742,0.366972,0.357349,0.366906,0.360104,0.366013,0.358621,0.359589,0.361011,0.361478,0.364162,0.35942,0.364362,0.365854,0.365217,0.34153,0.362903,0.365123,0.363144,0.359882,0.36253,0.36019,0.361174,0.357702,3558,M.rubiginosa
0.351124,0.345277,0.361111,0.371528,0.360269,0.356037,0.354369,0.357827,0.356688,0.3531,0.35177,0.352632,0.349432,0.359551,0.351648,0.35277,0.365759,0.348285,0.349854,0.345714,0.351124,0.340909,0.34891,0.348649,0.35503,0.353535,0.351792,0.354515,0.336667,0.359551,0.352518,0.360269,0.360656,0.36036,0.358025,0.335784,0.354839,3746,P.ramiflora
0.369524,0.372928,0.364865,0.362101,0.36194,0.364769,0.362162,0.369963,0.368607,0.359551,0.358003,0.362725,0.361174,0.366197,0.36381,0.363834,0.362683,0.357143,0.360489,0.357834,0.35743,0.356674,0.360382,0.366525,0.36722,0.357977,0.357977,0.364185,0.346756,0.361905,0.369732,0.359223,0.364839,0.362613,0.359116,0.352475,0.359524,5432,C.brasiliensis
0.316049,0.321237,0.311111,0.316583,0.313283,0.315,0.321149,0.318182,0.323457,0.325758,0.323877,0.312349,0.287197,0.318059,0.324873,0.326425,0.313514,0.31377,0.314961,0.319672,0.318919,0.315961,0.321168,0.321337,0.314214,0.295385,0.308333,0.323204,0.326816,0.325069,0.322129,0.325581,0.319261,0.322034,0.316754,0.299435,0.318182,3461,M.rubiginosa
0.382271,0.378685,0.379121,0.370558,0.379603,0.382353,0.393651,0.394495,0.389881,0.383901,0.392308,0.384,0.368889,0.381818,0.388889,0.398176,0.375276,0.371002,0.389356,0.393082,0.387931,0.380952,0.385013,0.386935,0.386243,0.370588,0.375,0.38992,0.362468,0.385463,0.376499,0.385185,0.386792,0.386768,0.381733,0.377119,0.383085,4984,C.brasiliensis
0.369919,0.373057,0.368201,0.361328,0.376417,0.371111,0.374728,0.377232,0.371429,0.370283,0.366279,0.360396,0.362319,0.368421,0.368836,0.362319,0.366038,0.364372,0.371308,0.367063,0.369128,0.364384,0.356838,0.364341,0.372365,0.360627,0.361377,0.36121,0.340344,0.360424,0.363803,0.357834,0.367901,0.354709,0.361158,0.359664,0.358047,5301,C.brasiliensis
