@relation ephenology_all-5-fold-3-08R.tra_val

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 {A.tomentosum,C.brasiliensis,M.guianensis,M.rubiginosa,P.ramiflora,P.torta}

@data

0.333925,0.359195,0.341297,0.347458,0.349254,0.333333,0.330484,0.360606,0.353403,0.354115,0.354167,0.348189,0.353562,0.346578,0.353604,0.349876,0.353808,0.358306,0.356589,0.354108,0.342105,0.346667,0.348684,0.368421,0.356796,0.356234,0.35,0.355294,0.359673,0.355224,0.351706,0.364865,0.354839,0.34375,0.354978,0.354762,0.353497,4291,P.torta
0.335196,0.323113,0.333333,0.329582,0.330097,0.332149,0.332746,0.331658,0.336735,0.333333,0.338798,0.321696,0.319005,0.337209,0.338739,0.337727,0.333333,0.31893,0.336177,0.333333,0.33222,0.33218,0.325123,0.330998,0.333938,0.33452,0.337229,0.33719,0.336315,0.337884,0.336299,0.336879,0.338951,0.326923,0.327696,0.337456,0.330224,821,M.rubiginosa
0.334232,0.325726,0.333775,0.329787,0.332016,0.332011,0.331135,0.332443,0.335561,0.334221,0.336011,0.324645,0.320961,0.333333,0.335989,0.334677,0.333333,0.330097,0.335106,0.336884,0.332005,0.332891,0.33253,0.33557,0.335553,0.335128,0.336884,0.335106,0.335553,0.335989,0.336971,0.33557,0.340081,0.330935,0.335329,0.332884,0.340029,2796,P.torta
0.331933,0.328798,0.332865,0.33011,0.332394,0.333333,0.33383,0.333333,0.334307,0.333333,0.34058,0.328431,0.322072,0.334243,0.338617,0.334722,0.332827,0.329389,0.335799,0.336257,0.333333,0.334333,0.328638,0.339063,0.334928,0.332278,0.336973,0.337838,0.336,0.335925,0.334421,0.336523,0.333871,0.329439,0.332665,0.332253,0.331691,1805,A.tomentosum
0.386921,0.378738,0.383033,0.347732,0.356223,0.383621,0.367704,0.360134,0.362761,0.363333,0.371681,0.364929,0.372768,0.358079,0.383886,0.364629,0.353041,0.369231,0.353147,0.357522,0.348123,0.348765,0.35124,0.363025,0.351393,0.363057,0.362288,0.358209,0.359743,0.364679,0.361345,0.361165,0.357977,0.357143,0.369369,0.343066,0.357853,3617,A.tomentosum
0.367188,0.382586,0.369565,0.371901,0.370968,0.369295,0.371901,0.370518,0.374486,0.374593,0.371528,0.377309,0.389205,0.375415,0.370629,0.371336,0.371237,0.374126,0.382143,0.384083,0.378378,0.375,0.379501,0.378676,0.378007,0.377622,0.38,0.376623,0.378007,0.384106,0.381119,0.381443,0.378947,0.382653,0.389972,0.384354,0.382979,5996,C.brasiliensis
0.354015,0.385366,0.366102,0.374532,0.363322,0.378092,0.357664,0.356877,0.378571,0.370504,0.376206,0.37037,0.373041,0.388013,0.371831,0.369748,0.363636,0.364407,0.364902,0.348189,0.34878,0.342857,0.363636,0.371191,0.360494,0.369077,0.345133,0.348515,0.362705,0.357143,0.354839,0.357914,0.362832,0.35786,0.375,0.343985,0.370763,3816,M.rubiginosa
0.377871,0.381868,0.371212,0.370909,0.371479,0.382857,0.389113,0.373898,0.382625,0.381057,0.384615,0.371795,0.381333,0.376736,0.377143,0.374113,0.377907,0.374359,0.37303,0.37133,0.375796,0.374765,0.375676,0.380567,0.378947,0.38477,0.370968,0.377698,0.387914,0.387597,0.384762,0.387476,0.377246,0.37741,0.389744,0.37702,0.376278,4784,C.brasiliensis
0.356757,0.373913,0.365559,0.349544,0.350282,0.352601,0.352113,0.346437,0.377522,0.363636,0.38141,0.388889,0.379562,0.366935,0.404605,0.356846,0.377709,0.39322,0.371542,0.38676,0.361111,0.391608,0.37931,0.401826,0.398058,0.383764,0.366412,0.387755,0.366782,0.371542,0.366947,0.392027,0.40293,0.358447,0.369485,0.359743,0.362887,3814,A.tomentosum
