@relation ephenology_all-5-fold-5-15B.tra_val

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 {P.torta,C.brasiliensis,M.rubiginosa,P.ramiflora,M.guianensis,A.tomentosum}

@data

0.283217,0.280802,0.310219,0.271845,0.273438,0.280769,0.283636,0.280528,0.276224,0.282759,0.280323,0.278481,0.277937,0.290984,0.263566,0.290698,0.270175,0.268657,0.273723,0.281588,0.262097,0.269091,0.277259,0.295681,0.282979,0.270701,0.302452,0.290441,0.298077,0.301746,0.279373,0.288591,0.289634,0.294766,0.311178,0.281065,5284,C.brasiliensis
0.338983,0.326531,0.347032,0.351464,0.36017,0.360996,0.341667,0.329167,0.341176,0.329004,0.312903,0.33945,0.33657,0.353846,0.331858,0.296875,0.35545,0.338164,0.35567,0.349206,0.359116,0.333333,0.352,0.330233,0.328125,0.343109,0.34104,0.351064,0.331633,0.349515,0.336898,0.327957,0.344086,0.356125,0.362595,0.339695,4446,P.torta
0.286517,0.258503,0.300654,0.292035,0.29932,0.303448,0.283871,0.298701,0.301136,0.281437,0.282869,0.284133,0.279352,0.297872,0.282486,0.285714,0.272109,0.295858,0.292683,0.294574,0.295455,0.301282,0.276451,0.271676,0.276786,0.271478,0.298701,0.282209,0.286486,0.287293,0.282528,0.277027,0.292181,0.281139,0.289855,0.281513,5014,C.brasiliensis
0.320158,0.301136,0.315217,0.263566,0.314721,0.315,0.308696,0.303419,0.316239,0.297101,0.301546,0.302564,0.310705,0.298893,0.29771,0.292929,0.29588,0.298039,0.308756,0.301887,0.30137,0.296154,0.318653,0.296296,0.309904,0.301663,0.278481,0.303846,0.30897,0.300341,0.303688,0.294964,0.311978,0.303653,0.30163,0.302872,3558,M.rubiginosa
0.319392,0.301299,0.318919,0.314607,0.318408,0.316964,0.307018,0.308036,0.297297,0.305677,0.307463,0.308176,0.310897,0.319444,0.315789,0.307692,0.312195,0.303965,0.319444,0.316742,0.321168,0.321705,0.30581,0.314721,0.31016,0.300752,0.333333,0.333333,0.333333,0.333333,0.3213,0.333333,0.323024,0.304762,0.333333,0.320513,3746,P.ramiflora
0.280952,0.280423,0.289694,0.285024,0.288462,0.278689,0.269231,0.282051,0.282927,0.272464,0.271523,0.296912,0.290698,0.275281,0.276042,0.257396,0.270341,0.27882,0.277286,0.28841,0.28084,0.272472,0.28744,0.26158,0.281938,0.287059,0.28125,0.280899,0.290237,0.279904,0.290837,0.282383,0.287749,0.297424,0.301746,0.291469,5432,C.brasiliensis
0.358722,0.334661,0.344086,0.346154,0.336957,0.336986,0.336158,0.350877,0.361386,0.32967,0.367021,0.354528,0.344156,0.320802,0.348101,0.32619,0.3309,0.324742,0.332518,0.328042,0.325521,0.333333,0.351464,0.341463,0.34748,0.334071,0.336927,0.349882,0.332536,0.334135,0.329829,0.340153,0.392079,0.334764,0.359649,0.32137,3461,M.rubiginosa
0.280872,0.26799,0.277108,0.286486,0.260563,0.267176,0.263736,0.267123,0.265918,0.26183,0.261614,0.272959,0.266289,0.265233,0.251397,0.258741,0.270784,0.259542,0.230769,0.243697,0.250936,0.230769,0.276486,0.248227,0.265957,0.288719,0.276786,0.2849,0.265233,0.280112,0.274123,0.264286,0.27321,0.269585,0.285311,0.250569,4984,C.brasiliensis
0.285211,0.274074,0.291228,0.284483,0.295374,0.284091,0.305019,0.283525,0.28,0.294521,0.284946,0.290023,0.295218,0.289544,0.281421,0.285078,0.283981,0.285714,0.282258,0.275949,0.289277,0.286996,0.293651,0.275434,0.276169,0.296482,0.286385,0.277778,0.285714,0.276596,0.286449,0.279373,0.299233,0.295585,0.30625,0.290323,5301,C.brasiliensis
