@relation ephenology_all-5-fold-5-16R.tra_val

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 {P.torta,C.brasiliensis,M.rubiginosa,P.ramiflora,M.guianensis,A.tomentosum}

@data

0.369906,0.38,0.369458,0.385714,0.369369,0.368201,0.365759,0.373134,0.366255,0.395652,0.375,0.366834,0.366667,0.363296,0.387097,0.369427,0.381443,0.369403,0.351852,0.381356,0.368627,0.354545,0.368421,0.369198,0.356287,0.355438,0.374545,0.363636,0.363128,0.367188,0.348921,0.349711,0.351351,0.365333,0.358156,5284,C.brasiliensis
0.330128,0.345411,0.322581,0.324324,0.334842,0.336323,0.341772,0.340164,0.32618,0.329545,0.313433,0.330435,0.326389,0.325,0.336207,0.31831,0.326923,0.316514,0.325688,0.333333,0.317597,0.327869,0.322314,0.330798,0.330798,0.331878,0.326087,0.315126,0.318966,0.334928,0.307317,0.33526,0.325949,0.329317,0.331579,4446,P.torta
0.355932,0.380783,0.363636,0.380435,0.364407,0.362205,0.362903,0.361538,0.361538,0.358108,0.354167,0.362989,0.366667,0.355422,0.361111,0.373541,0.375,0.368421,0.37037,0.366071,0.358382,0.372694,0.36478,0.374408,0.372624,0.367188,0.36,0.365385,0.368056,0.368056,0.347826,0.369963,0.367857,0.37013,0.373494,5014,C.brasiliensis
0.354386,0.362857,0.35,0.357143,0.363636,0.35625,0.352381,0.350711,0.351759,0.351449,0.353147,0.352518,0.355491,0.362007,0.364,0.353261,0.35786,0.354701,0.356557,0.350427,0.352941,0.354167,0.352941,0.357724,0.361413,0.363958,0.362712,0.359477,0.365188,0.359322,0.350943,0.355932,0.353604,0.362805,0.359494,3558,M.rubiginosa
0.347432,0.358839,0.339207,0.346535,0.339713,0.340249,0.339623,0.340206,0.342466,0.338583,0.339844,0.348837,0.350515,0.33829,0.342246,0.350168,0.338912,0.333333,0.339394,0.338889,0.338462,0.351648,0.333333,0.350467,0.356164,0.336207,0.333333,0.333333,0.333333,0.333333,0.333333,0.348485,0.351064,0.333333,0.35241,3746,P.ramiflora
0.373171,0.37296,0.371622,0.369906,0.370482,0.366569,0.374251,0.376855,0.370787,0.363363,0.369501,0.349057,0.357724,0.37018,0.378747,0.361809,0.369159,0.381616,0.37,0.381356,0.367347,0.362398,0.374696,0.369347,0.358447,0.366972,0.378947,0.375904,0.38,0.372283,0.361809,0.360563,0.356979,0.374419,0.355556,5432,C.brasiliensis
0.325301,0.318919,0.314286,0.320084,0.317241,0.315909,0.307512,0.309633,0.306723,0.3125,0.301099,0.299107,0.312896,0.303538,0.296786,0.304015,0.325866,0.321277,0.323467,0.324675,0.309045,0.308204,0.293774,0.298419,0.318519,0.314346,0.3,0.286822,0.279232,0.28733,0.279141,0.303462,0.300885,0.315904,0.318182,3461,M.rubiginosa
0.376045,0.373853,0.376569,0.37574,0.372694,0.393365,0.394619,0.391892,0.377593,0.388664,0.376812,0.371501,0.374648,0.395437,0.368421,0.365285,0.373418,0.4,0.403433,0.394068,0.37276,0.375,0.383399,0.376963,0.381625,0.375921,0.363905,0.376344,0.375405,0.379845,0.364312,0.385542,0.377574,0.406863,0.382353,4984,C.brasiliensis
0.371274,0.370787,0.365217,0.367232,0.368876,0.375367,0.369085,0.355224,0.363914,0.366013,0.35241,0.358242,0.357616,0.364943,0.376344,0.36019,0.367925,0.372781,0.373656,0.375723,0.361823,0.354839,0.366834,0.374118,0.363992,0.371981,0.368056,0.369412,0.367925,0.360335,0.361446,0.350109,0.354717,0.356371,0.356371,5301,C.brasiliensis
